,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
angles for frame_10,157.63224607983702,173.70767056279522,171.26444722341068,172.65242635176017,170.6950760922073,174.64504848848057,173.08438876598592,173.079421584606,175.0418582846276,170.95173086113425,173.56955448732285,176.44750422640996,167.86556914819818,177.95384398749394,173.0665362477353
angles for frame_11,157.5108148562674,173.23351051357946,171.46846273602722,172.54888526663765,170.66906131525107,174.49329662097088,172.86734582251668,173.2239140329016,175.0726604450105,170.5368526037776,173.81242814387488,176.24517518149534,167.63483169784703,177.8638107392467,172.96818325894205
angles for frame_12,157.1976236059437,173.11799618619224,170.9416251595228,172.63698267787868,170.77960561658708,174.55061984489345,173.0348534939722,173.25544413495524,174.94398006289916,170.67177174426516,173.75840942977354,176.2923142181477,167.55845838294795,177.98209202939867,173.01266700771214
angles for frame_13,157.9418818498109,173.2926437094517,170.2054883435336,172.5284097962035,170.76279859672758,174.48789294492877,172.94830786888718,173.66049633225091,174.97100738378003,170.9684863278973,174.13576089092487,176.14702003335512,168.13178723203984,177.78306966039045,172.9646345811536
angles for frame_14,159.22353468337192,174.96138032754632,171.66353524327764,172.23137823433106,171.6432981128554,175.40346574540155,173.4783847046221,173.677751714509,175.68925115433836,172.79338586826586,174.24689519189894,176.27739129940508,169.88053627415113,177.61195616020834,172.85770584268758
angles for frame_15,158.59190250500802,175.40335177590998,174.9170809833992,168.83233477109195,170.83819193168824,175.97935609886179,173.3073364413943,173.08070061561475,177.0026102601666,173.4202251019453,174.75396566099388,176.13468557486726,171.99469428398265,176.48727793146278,173.060720846486
angles for frame_16,156.49312565522928,169.74222304156444,178.18906910020888,166.77167171117713,166.09926248750833,175.97886601875746,173.0036904895955,169.36680211134316,178.44960862018328,173.30515467713295,172.28725279033057,176.21395092868477,171.56360710707887,174.18863338625792,174.25362777447253
angles for frame_17,149.23859469403735,163.74378736583355,173.5730134376107,162.96227522344876,155.9175984265748,176.47808123258488,167.57613242761948,159.7232464518522,175.4533863141785,164.1690285726017,161.15774776599156,173.89220390974816,160.7894563676832,172.03788965802448,176.9594276785262
angles for frame_18,148.61441539609268,154.6931676333554,176.6581467410962,150.68845641536774,153.9772097417203,126.89400923011343,159.2670282263391,145.9998106454241,116.08962908283475,157.6892991310058,136.11411234953573,103.42295432723377,154.18883934115556,152.44472730618898,110.91215656159719
angles for frame_19,145.61162059703682,153.47521329561155,168.7757617972859,151.75504925116692,114.96128757813453,112.47565395386451,159.5206349732548,91.95007212051176,129.95110993478457,160.25524795629144,85.06317237426154,129.07354783336575,158.749201443205,101.56856793594372,112.52091161150625
angles for frame_20,152.2101610137789,144.7752929703564,166.5222097185454,147.41045484113747,65.23410081501022,152.80172687849873,154.59835729549127,53.2241527352386,154.85938629058123,153.8473547783695,33.182583886628564,163.62310061640537,150.2632902685379,30.08184750048556,166.9840758304141
angles for frame_21,155.51588171779227,139.39761007800413,165.54926374811558,145.11161159725424,57.56641058974035,160.1782227526928,150.35827657294587,43.04909554274062,162.23224286000848,148.47455030815178,29.631371499040633,165.16607532241946,145.50452519228386,30.017495507014864,166.4300142969899
angles for frame_22,155.75329906932586,137.33712539897732,163.90187816928577,141.64078736699662,57.70382129754538,163.7996777905009,145.03643909897215,46.50215418884589,164.0663538481864,145.07164456800356,33.165418180272674,162.95050069372047,140.09163261423123,36.919465237742706,162.5833864307241
angles for frame_23,152.89410525529786,135.22016518848918,158.41426338486494,138.63758196685666,58.950734845736264,163.89833403971724,139.50642058201225,49.51509320899879,164.33040421987414,139.41863563746404,37.46655727094572,159.97910383800522,133.59973312475864,42.7462311402277,159.94650613224766
angles for frame_24,151.93100765659554,133.26158780613932,155.70411689018744,139.2117470232889,55.58401041118094,168.29724402438154,140.3158258948937,46.80312680834509,164.0217677424745,138.38753058747412,37.965405632839506,157.12841234553196,133.50343863426468,41.737184707352185,157.63786325111047
angles for frame_25,151.2896643418956,131.29147448269697,152.438066417238,140.13516112911614,52.98365036036658,170.28434691544024,141.15950664454905,45.886218104302394,164.2254717626532,139.93592479768998,36.629877057595635,157.4094803920334,134.82718891292078,40.282256024618334,157.94014547258445
angles for frame_26,149.46670419556153,130.87360790500395,151.14136533230695,140.24309937213297,50.748693895167825,172.33573000751494,140.97844363023506,45.596597525301334,162.40180345925387,138.31270606646203,38.19048911213968,155.0974723314369,131.10254315527024,43.63876108358579,155.32133904074522
angles for frame_27,148.5346114586699,129.5073583979758,149.44776130585524,140.46730265306252,50.02877214017583,173.4716312094606,142.04593729349068,44.86153211273373,161.09695026501186,138.74535091542813,37.812149103148066,153.6980344227006,130.13382136662824,44.45438795149824,153.91469489147278
angles for frame_28,142.149495237321,131.7351848303804,146.7089525141373,142.001419876189,48.1840368239138,173.66372304403046,142.64029305604333,44.5806264959342,160.23813279995923,139.2282129744964,37.2372821013972,153.9107156344058,130.98018567540765,43.67450723422044,154.48158661383354
angles for frame_29,140.76929163008384,131.91299360093257,146.79358597503793,140.42797859887574,50.128257562769484,173.6795306827825,139.9500923962992,46.768187921214874,161.1419899081514,136.7424250991598,39.173664919863874,153.89337653229427,128.57281037720375,46.32069495403903,154.60628866572037
