,Detected,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
487,True,[ 2.07677565e+02  4.17283859e+02 -3.26572085e-04],[151.49224877 398.6296463    7.21894629],[107.8955698  353.16623688   4.46858905],[ 87.83628345 305.73915482   1.60980837],[ 93.83030176 269.2572403    1.98411182],[112.37751961 321.93077087 -21.14456713],[109.96747971 247.18515396 -28.52809042],[118.26977491 259.79299545 -22.04023987],[121.62516475 286.29653931 -13.95118296],[152.58348942 311.11434937 -28.93331587],[145.0086844  236.55654907 -32.6103133 ],[150.971632   255.47464371 -22.00357273],[153.58286977 282.35128403 -12.83640593],[192.92957783 305.4873085  -34.37762886],[182.19172955 242.5917244  -34.85117555],[184.37234402 262.60177612 -19.1770421 ],[186.05664253 285.6621933   -8.59552167],[229.80139017 305.4886055  -38.51102024],[211.52848721 260.03154755 -36.79323435],[210.55645466 277.47802734 -23.11769664],[214.16735172 296.37655258 -12.25970551]
488,True,[ 2.08313570e+02  4.11497498e+02 -3.26318725e-04],[152.07973838 396.07833862   6.45190828],[110.45191884 350.548172     3.74482848],[ 91.267097   302.4105072    1.55400535],[ 95.37465334 267.07578659   2.34784551],[114.80883479 321.29829407 -22.32187584],[115.23952246 250.08018494 -29.16602433],[122.40552664 265.78674316 -23.38292956],[124.52198267 292.38843918 -16.30513251],[155.63203454 310.35825729 -29.22960073],[147.30051398 239.03749466 -32.35641003],[152.5329566  259.47160721 -22.49147728],[154.88951325 285.72898865 -14.22960028],[196.17509365 304.42422867 -33.61155242],[184.04545784 242.98469543 -33.99415076],[186.16959572 263.4854126  -19.17385831],[187.74529696 287.04219818  -9.31963496],[232.48641014 303.92473221 -36.61364168],[212.7648139  263.34329605 -35.25916636],[212.46108055 280.69419861 -22.59337038],[216.39485121 298.45897675 -12.55374938]
489,True,[ 2.06463833e+02  4.12365646e+02 -3.18182672e-04],[152.11066961 394.64450836   7.51646429],[112.2618413  348.08624268   5.37240565],[ 93.36479902 301.47821426   3.73247154],[ 96.80603027 266.31702423   5.03828991],[118.47455621 320.00087738 -22.40160048],[117.05767393 253.1464386  -27.32199758],[123.78847361 266.58025742 -19.20638278],[126.27345443 292.26844788 -10.54420419],[157.49436736 309.97531891 -29.82776016],[146.69243574 240.51177979 -32.96120256],[152.08813906 259.11962509 -22.1014908 ],[155.26707172 285.37799835 -12.57332683],[196.79086447 304.5946312  -34.32612509],[184.5489192  246.38198853 -35.03770441],[186.59866333 265.21814346 -19.72180143],[188.70327473 288.69213104  -8.8606748 ],[232.40098715 305.34162521 -37.22605973],[212.85083771 266.3060379  -34.15806323],[212.32780695 282.37876892 -19.87738431],[216.62747383 300.04777908  -8.64859119]
490,True,[ 2.06407850e+02  4.13934517e+02 -3.24453342e-04],[151.44715548 394.69959259   8.37304853],[112.24291563 347.90748596   6.1304187 ],[ 93.64761114 300.93349457   4.19903476],[ 96.56960964 265.79202652   5.21243535],[117.82745719 319.73766327 -21.84753388],[117.1472168  252.60181427 -26.64340407],[125.23335814 266.59490585 -18.73720944],[127.96664715 292.87204742 -10.26184604],[156.74810171 309.4880867  -29.85046238],[147.01037407 240.45753479 -32.25625098],[153.48741531 259.4449234  -21.37623623],[156.68914676 286.33651733 -12.17669785],[196.08870506 304.24314499 -34.85412329],[184.81711864 246.26449585 -34.44566309],[187.57050276 265.51067352 -18.86731133],[189.30417538 289.50817108  -8.34956042],[231.72311783 305.4029274  -38.2788831 ],[213.82583141 267.81887054 -34.32449162],[213.28713655 284.12899017 -19.91214842],[216.54194355 301.757164    -8.8861008 ]
491,True,[ 2.05344300e+02  4.10888138e+02 -3.04837090e-04],[150.5233705  392.82588959   6.20808341],[111.67652965 346.31355286   2.45679701],[ 93.82813454 299.03129578  -0.49358643],[ 96.47064686 263.59138489  -0.65654961],[115.25138855 321.0842514  -24.44202662],[115.30736089 254.50649261 -30.81086218],[124.43687081 270.34816742 -24.87635136],[127.19067335 296.06548309 -17.74800003],[154.88688469 310.29798508 -31.64380878],[146.24122381 241.75020218 -34.99204785],[152.72701979 261.50215149 -25.12863725],[155.92969537 288.35763931 -16.53197631],[194.73571301 304.34391022 -36.00155354],[184.30247784 247.74316788 -36.37940168],[186.9982481  267.52071381 -21.29557684],[188.73018265 291.40722275 -10.90340361],[230.59079647 304.78252411 -38.90344888],[212.25836992 268.94767761 -34.8972398 ],[212.34402895 286.25875473 -20.0495781 ],[216.33728027 303.85030746  -8.7048988 ]
492,True,[ 1.97790728e+02  4.04416733e+02 -2.16959691e-04],[146.45347238 388.66733551   4.80912097],[110.32243252 344.0020752    1.0304358 ],[ 93.80425215 296.95299149  -1.55460684],[ 95.0904572  262.26364136  -1.68321524],[111.18230581 320.25669098 -24.88633454],[113.37284446 253.79951477 -31.33487999],[123.75813246 265.7233429  -25.79383314],[127.3071456  290.92407227 -18.78588483],[150.63245058 309.08920288 -31.14108771],[145.41154146 242.59365082 -33.11368346],[153.00238609 260.33746719 -23.22549999],[155.30771255 286.01711273 -15.26490346],[190.83148956 303.45787048 -34.73479182],[182.73070335 247.60633469 -34.10494745],[186.29492998 267.49656677 -18.67636755],[187.59442806 290.62734604  -8.71306144],[226.97590828 304.1550827  -37.07092345],[212.34638929 271.5946579  -33.58581394],[213.35069418 289.22574997 -19.11892936],[216.98555946 305.49583435  -8.15554552]
493,True,[ 1.97075372e+02  4.02121582e+02 -2.13330568e-04],[144.6163094  386.01764679   3.68498839],[108.50481749 342.65258789  -0.86477528],[ 92.43083239 295.79458237  -3.99324194],[ 94.1545701  261.57711029  -4.64156739],[111.04951501 319.36130524 -27.5748387 ],[113.74472737 252.26106644 -34.61635351],[123.06575775 264.47608948 -29.40300286],[125.76408148 290.05062103 -22.73980826],[150.814991   308.0762291  -33.42504501],[147.22698927 242.46149063 -35.50419688],[153.03113937 260.45642853 -25.44333011],[154.02999401 286.70267105 -17.70896047],[190.9736681  302.71549225 -36.68306261],[184.53834057 248.09703827 -35.81527144],[186.7346406  267.24000931 -20.56852117],[187.37929344 290.42970657 -11.12258367],[226.82304382 303.21502686 -38.83286655],[212.82646179 273.01101685 -35.48324883],[213.30230713 289.26307678 -21.64166227],[216.51943445 304.41328049 -11.3354753 ]
494,True,[ 2.00266085e+02  4.05918503e+02 -2.62589106e-04],[146.74757123 389.33773041   4.24708989],[110.11394978 344.49092865   0.51809574],[ 94.22308445 297.17205048  -2.06841633],[ 94.16821718 263.3275032   -1.78235723],[109.81367111 319.89809036 -23.20992708],[113.88279676 253.5984993  -30.028781  ],[123.37954402 268.60643387 -25.00791639],[125.48665524 295.21598816 -18.52071226],[149.9793005  308.69615555 -29.35970664],[147.63621926 244.80733871 -31.49093091],[153.63753319 265.23044586 -21.92648068],[154.59776402 291.72725677 -14.29145202],[190.37624359 302.95261383 -33.21680367],[183.8592267  250.10757446 -32.43816644],[186.54287338 270.85691452 -17.52872139],[187.34277248 294.25113678  -8.07354435],[226.46551609 303.08376312 -36.04473442],[211.42958879 274.16948318 -32.6404345 ],[212.14565277 291.59442902 -19.05262247],[215.63608646 306.9377327   -8.75349909]
495,True,[ 1.93884444e+02  3.95593033e+02 -1.45162182e-04],[143.69428396 382.06645966   1.73957214],[109.04537916 340.84117889  -3.4139324 ],[ 94.59664106 296.39989853  -7.1409604 ],[ 95.87243915 262.11589813  -8.31076294],[111.75207138 318.16362381 -26.48213625],[112.03069925 253.52745056 -34.48231012],[119.20502901 260.22483826 -29.1042611 ],[122.26987123 283.12068939 -21.93479419],[150.93650579 307.623806   -31.98879719],[145.57469487 242.49603271 -37.67572135],[151.60560966 261.5583992  -28.15092891],[153.70774269 287.61089325 -19.27444115],[190.4172492  303.04605484 -35.36509216],[181.75987244 247.73067474 -38.47297311],[183.83315563 268.35071564 -23.13541263],[185.08892298 291.31587982 -12.02142611],[225.3630209  304.11903381 -37.66197234],[210.00185966 270.97000122 -37.52462178],[209.61070776 287.72298813 -23.71004641],[213.00717831 303.46944809 -12.40812555]
496,True,[ 1.94776247e+02  4.00706558e+02 -1.80510465e-04],[143.28127742 384.88731384   2.81508364],[107.33672619 344.74502563  -3.13543361],[ 90.44138432 300.30376434  -7.69769244],[ 93.48103523 266.28391266  -9.76028234],[111.48002028 319.54200745 -29.85529304],[112.87922144 253.99471283 -35.95535249],[122.78283834 263.31216812 -29.38829094],[125.01595974 288.99410248 -22.09341869],[150.49740672 309.83572006 -35.86752087],[145.76302886 247.71133423 -36.73731834],[153.60400558 264.75797653 -25.71339905],[154.45384741 291.22972488 -17.92543888],[190.4954195  306.02275848 -39.16096509],[183.59218597 253.26934814 -38.0995962 ],[186.8872261  270.98976135 -22.71620482],[187.40019321 295.21020889 -13.4938556 ],[226.51920319 307.9369545  -41.31515443],[212.63411522 276.53648376 -39.1967082 ],[213.45650196 291.50669098 -25.35830408],[216.10446453 308.54301453 -14.84858707]
