,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
angles for frame_65,43.4,25.0,21.8,46.1,110.2,34.9,43.5,128.3,31.8,43.1,141.6,25.3,41.9,137.6,23.4
angles for frame_66,41.1,23.0,20.6,46.8,93.6,33.0,46.4,127.8,28.4,44.0,143.2,25.2,41.8,141.2,23.5
angles for frame_67,43.0,22.6,21.0,46.2,116.3,25.0,46.5,131.6,29.9,45.9,143.2,30.1,42.9,142.4,27.5
angles for frame_68,39.7,17.7,17.6,48.8,110.6,24.8,47.4,129.4,29.4,47.8,142.0,28.1,43.5,143.3,25.8
angles for frame_69,40.2,18.6,16.0,49.6,116.1,23.9,47.9,131.1,32.5,47.3,144.1,31.5,42.5,145.6,27.0
angles for frame_70,41.5,18.5,10.0,50.2,116.1,31.0,48.4,133.3,39.2,48.0,145.8,33.6,42.8,146.9,27.8
angles for frame_71,42.2,20.9,8.5,48.9,120.9,27.0,47.5,134.2,38.9,48.1,146.0,37.1,41.4,150.5,30.4
angles for frame_72,43.7,21.4,9.2,50.0,120.3,26.2,50.4,132.4,42.4,50.7,144.1,41.1,44.0,149.0,34.7
angles for frame_73,42.8,21.4,8.3,49.3,121.2,23.8,49.7,132.7,39.8,49.1,145.9,39.9,42.4,151.6,33.7
angles for frame_74,46.7,22.2,9.1,50.2,123.6,23.9,49.3,138.0,56.8,49.2,149.4,48.0,41.7,155.4,40.2
angles for frame_75,46.7,22.8,10.4,51.4,124.2,23.3,50.4,138.6,68.5,50.6,148.6,57.2,42.2,155.4,46.7
angles for frame_76,49.6,24.2,11.9,52.6,123.0,24.5,50.8,138.2,66.0,53.6,146.3,59.3,43.3,155.1,49.0
angles for frame_77,49.3,24.8,9.8,52.7,123.0,24.0,51.0,138.3,67.1,52.8,147.3,57.8,44.6,152.3,50.3
angles for frame_78,49.0,26.8,8.5,52.0,127.1,18.7,48.2,142.7,67.2,49.4,151.2,56.2,40.9,157.0,47.4
angles for frame_79,52.7,27.0,8.2,51.5,124.9,17.9,47.8,140.0,55.9,48.2,149.5,51.8,41.6,152.6,43.5
angles for frame_80,51.4,27.9,8.1,51.2,125.3,16.8,47.0,139.9,54.9,47.8,149.0,52.6,41.2,152.5,42.8
angles for frame_81,53.8,27.2,9.6,52.2,124.4,17.4,47.2,140.3,56.7,48.4,148.5,53.3,42.3,150.6,44.3
angles for frame_82,54.6,27.2,13.9,52.6,123.2,16.2,47.4,139.0,52.1,50.9,145.5,53.0,45.9,147.3,44.1
angles for frame_83,49.7,28.3,13.7,51.7,123.8,15.4,46.9,138.7,59.1,51.1,144.8,57.3,46.6,147.6,45.8
angles for frame_84,54.2,26.4,16.3,51.4,124.2,14.8,45.5,140.8,56.2,50.6,146.4,55.3,45.6,149.2,44.4
angles for frame_85,49.4,26.5,18.7,52.5,123.2,16.9,46.8,140.4,61.3,51.9,146.1,55.6,47.0,149.1,44.5
angles for frame_86,38.3,31.4,20.4,55.2,116.5,19.9,59.5,126.0,73.0,59.8,135.0,69.7,53.3,139.5,59.1
angles for frame_87,41.2,30.9,15.5,77.9,94.9,43.7,75.5,107.6,75.0,75.5,116.4,72.8,68.7,119.3,58.3
angles for frame_88,53.6,24.3,12.4,82.1,94.7,45.4,82.1,94.8,61.7,79.5,106.9,69.4,77.9,104.4,63.1
89,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,
angles for frame_91,50.1,14.9,10.9,14.1,139.8,12.6,33.4,139.2,18.6,53.1,136.6,22.8,60.8,127.6,24.7
angles for frame_92,38.8,10.0,17.3,66.5,103.2,54.2,79.8,99.1,62.3,87.1,99.2,62.7,86.3,95.7,59.1
angles for frame_93,38.1,8.9,30.9,70.2,99.9,51.6,76.4,92.8,60.2,79.7,90.5,66.8,75.8,90.0,63.9
angles for frame_94,28.0,6.4,24.3,70.6,97.1,49.4,80.3,89.7,58.7,79.7,90.3,59.9,74.0,90.9,57.3
angles for frame_95,39.5,9.2,8.2,53.7,112.9,49.2,61.7,110.1,49.9,67.8,112.6,47.5,65.0,114.1,44.5
angles for frame_96,40.4,11.3,22.7,53.8,115.5,53.0,66.3,106.9,60.2,73.2,104.8,58.2,73.4,99.7,57.3
