,thumb_1,thumb_2,thumb_3,index_finger_1,index_finger_2,index_finger_3,middle_finger_1,middle_finger_2,middle_finger_3,ring_finger_1,ring_finger_2,ring_finger_3,pinky_1,pinky_2,pinky_3
angles for frame_181,25.8,72.2,37.8,30.0,138.1,7.4,23.0,147.0,14.5,26.0,153.6,28.3,43.0,140.9,32.1
angles for frame_182,25.7,73.0,34.0,31.8,136.9,4.5,23.1,147.1,12.8,26.6,153.6,29.6,42.3,142.8,31.8
angles for frame_183,29.0,72.1,40.3,32.0,138.7,2.5,22.4,149.2,11.5,23.9,156.3,25.1,39.4,144.3,27.7
angles for frame_184,29.1,71.4,40.5,30.2,140.1,5.9,21.1,150.9,14.5,23.7,157.2,28.5,38.4,145.2,29.7
angles for frame_185,28.0,70.2,40.6,29.5,140.2,8.2,21.4,150.2,16.2,24.1,155.8,28.7,40.4,141.8,33.5
angles for frame_186,28.2,68.3,32.9,31.2,139.9,2.3,20.3,151.7,10.9,21.3,157.9,23.3,35.4,145.9,26.8
angles for frame_187,26.8,69.1,34.8,31.8,140.0,1.4,21.0,152.1,10.2,21.7,159.0,24.5,32.6,150.1,24.0
angles for frame_188,23.2,70.5,39.9,30.0,140.3,5.1,22.2,149.4,11.9,20.8,159.8,23.2,34.2,146.3,25.9
angles for frame_189,24.1,71.9,45.2,31.1,137.2,4.1,20.1,151.0,10.5,17.8,161.0,19.8,32.9,146.4,23.9
angles for frame_190,27.2,60.4,52.0,27.3,144.0,3.6,21.3,151.7,11.0,19.3,162.7,16.8,27.5,153.0,18.8
angles for frame_191,26.2,51.0,43.7,26.4,131.9,12.5,20.9,146.8,11.3,20.1,158.8,14.1,30.1,150.1,18.1
angles for frame_192,24.9,47.4,37.4,25.0,127.1,17.8,19.0,148.3,12.1,17.3,159.5,12.9,28.2,148.2,16.8
angles for frame_193,25.3,42.8,31.8,28.6,88.6,52.4,19.2,126.6,27.3,17.5,141.9,21.3,30.4,131.0,25.3
angles for frame_194,30.8,38.2,18.8,32.1,43.6,86.5,21.5,91.7,57.1,19.7,113.0,43.1,29.8,107.5,40.2
angles for frame_195,30.5,31.3,2.8,30.2,25.7,78.8,21.6,46.5,90.1,22.6,60.5,83.4,27.0,75.5,65.2
angles for frame_196,27.3,28.3,3.4,24.7,26.9,29.5,17.4,36.2,59.0,19.6,49.3,80.5,23.2,48.1,77.1
angles for frame_197,26.1,25.6,3.2,16.8,29.6,2.8,17.3,33.1,20.8,24.1,43.4,61.2,30.1,40.8,61.0
angles for frame_198,30.0,20.6,9.0,16.0,22.6,2.1,16.2,19.8,12.3,23.9,28.1,49.5,30.4,28.4,52.7
angles for frame_199,26.9,19.0,9.3,15.6,19.6,0.9,16.4,17.5,9.8,21.4,22.1,29.4,27.0,18.7,29.2
angles for frame_200,27.3,16.0,8.2,13.7,18.4,1.5,13.5,16.7,4.5,17.7,19.3,14.0,22.0,14.0,20.0
angles for frame_201,26.6,14.2,8.4,11.1,14.2,2.6,8.7,12.7,2.3,13.4,10.2,7.9,17.4,8.1,13.0
angles for frame_202,25.2,13.2,6.7,10.3,12.0,2.6,8.2,11.3,2.1,13.0,8.9,6.7,16.3,6.9,10.9
angles for frame_203,24.2,11.4,6.4,9.8,10.4,3.1,7.3,9.6,2.0,11.6,6.1,5.6,14.0,6.4,8.8
angles for frame_204,23.0,11.1,7.8,9.3,9.9,3.0,7.3,9.5,1.8,11.6,5.5,4.9,13.2,5.9,8.1
angles for frame_205,22.3,9.8,7.5,8.8,9.7,3.1,6.9,9.4,1.5,11.5,6.3,4.6,12.3,5.1,7.6
angles for frame_206,21.2,8.7,6.0,9.3,8.6,3.6,6.3,8.9,1.2,10.8,7.2,4.5,10.8,5.7,7.3
angles for frame_207,19.8,6.6,7.1,10.2,8.2,3.3,6.8,9.6,1.5,10.5,8.4,4.9,9.8,6.0,6.9
angles for frame_208,18.5,5.7,5.5,11.3,8.1,3.1,6.6,10.2,1.8,10.3,8.2,4.7,8.9,6.4,6.6
angles for frame_209,20.5,4.5,8.8,11.2,8.3,3.6,6.2,9.8,1.3,10.1,7.8,3.7,8.9,5.8,6.4
angles for frame_210,19.3,3.2,10.1,11.5,8.7,3.3,6.3,10.6,1.0,10.5,8.2,4.3,8.9,5.3,7.1
angles for frame_211,19.3,3.8,10.3,11.9,9.0,3.5,6.6,10.8,1.1,10.5,8.1,4.3,9.3,5.1,7.1
angles for frame_212,20.8,2.8,12.6,11.7,8.7,3.3,6.3,10.4,0.9,10.5,8.4,4.6,10.3,5.0,8.0
angles for frame_213,20.6,3.5,12.7,12.1,8.9,2.9,6.6,10.4,0.6,10.8,8.6,5.4,11.3,5.4,8.9
angles for frame_214,20.3,3.4,12.8,12.8,9.1,2.9,6.7,10.5,0.9,10.7,8.8,5.6,12.6,5.2,9.0
angles for frame_215,21.1,3.3,11.8,12.6,8.6,2.6,6.3,10.1,0.8,10.7,8.7,5.4,13.7,5.2,9.6
angles for frame_216,21.3,3.6,14.2,12.4,8.4,1.5,5.7,9.5,1.1,10.6,8.1,5.2,15.0,5.0,9.4
angles for frame_217,22.4,2.4,13.1,12.0,8.2,2.6,5.5,9.4,0.8,10.1,8.8,5.2,16.3,4.0,9.4
angles for frame_218,23.0,3.0,13.8,12.2,8.1,2.6,5.4,9.5,0.7,10.5,9.2,5.2,17.8,4.5,9.3
angles for frame_219,22.5,3.7,14.6,11.8,7.6,2.3,5.5,9.1,0.8,11.0,9.6,5.0,19.5,3.2,9.0
angles for frame_220,22.9,3.9,14.3,11.4,7.4,2.2,5.2,8.9,1.0,10.8,10.2,5.0,20.3,3.8,8.9
angles for frame_221,23.4,3.9,13.8,11.0,7.1,2.1,4.9,7.9,0.9,10.8,9.9,4.5,20.7,3.4,8.8
angles for frame_222,23.6,3.6,14.8,11.3,7.7,2.5,5.1,9.3,0.6,10.6,11.0,5.1,20.3,3.4,9.4
angles for frame_223,24.1,4.1,14.6,10.7,7.7,3.3,5.0,9.5,0.2,10.5,11.3,5.0,20.5,3.2,9.2
angles for frame_224,22.7,4.1,12.8,11.2,7.0,1.8,5.0,8.0,1.1,10.3,9.8,4.6,19.6,3.4,8.1
angles for frame_225,22.9,4.8,13.2,11.0,7.1,1.9,5.2,8.1,1.0,10.6,9.8,4.7,19.6,3.0,8.4
angles for frame_226,22.2,5.8,12.0,11.1,7.1,1.7,5.2,7.9,1.6,10.9,9.9,5.0,19.5,2.6,8.2
angles for frame_227,22.3,5.5,11.9,11.2,7.1,1.6,5.1,7.7,1.5,10.8,9.9,5.0,19.5,2.6,8.3
angles for frame_228,22.4,5.6,12.2,11.1,7.0,1.7,5.2,7.7,1.5,10.9,9.8,5.0,19.8,2.7,8.2
angles for frame_229,23.0,4.5,12.9,10.7,7.2,2.3,5.4,8.5,0.6,10.8,10.2,4.4,19.9,2.3,8.4
angles for frame_230,22.7,4.9,13.0,11.0,7.1,1.9,5.4,8.3,0.9,10.6,9.9,4.6,19.8,2.3,8.3
angles for frame_231,23.1,3.8,12.9,10.9,7.1,2.0,5.0,7.9,0.8,10.3,9.8,4.5,19.5,2.0,8.5
angles for frame_232,22.9,3.8,13.1,11.3,7.5,2.7,5.2,8.8,0.5,10.5,10.3,4.1,20.0,1.9,8.3
angles for frame_233,23.5,4.4,12.8,10.8,7.3,2.6,4.8,8.9,0.5,10.3,10.5,4.8,20.7,3.8,9.2
angles for frame_234,23.7,3.9,13.2,10.9,7.8,2.9,4.8,9.7,0.5,10.2,11.2,4.9,21.1,3.7,9.6
angles for frame_235,24.2,3.9,12.3,10.8,7.5,3.4,4.8,9.4,0.3,10.2,10.9,4.7,20.5,4.0,9.3
angles for frame_236,24.1,3.9,12.6,10.6,7.8,3.7,4.7,9.8,0.4,10.3,11.2,4.6,20.7,3.7,9.6
